Foundation,HEXColor,SkinTone,Company,ProductURL,Price,Image,VideoTutorial,InstagramFilter
PRO FILT'R SOFT MATTE LONGWEAR FOUNDATION:  shade#498,#41302a,dark skin,FENTY BEAUTY,"<a href=""https://bit.ly/2qqLbNP"">https://bit.ly/2qqLbNP</a>",$35.00 ,"<a href=""https://bit.ly/35hpZsd"">https://bit.ly/35hpZsd</a>","<a href = ""https://www.youtube.com/embed/CIL3Z0wx2uc"">https://www.youtube.com/embed/CIL3Z0wx2uc</a>",
WOKE UP LIKE THIS FLAWLESS BASE FOUNDATION:   shade#245,#574038,dark skin,IL MAKIAGE,"<a href=""https://bit.ly/2T5UVG7"">https://bit.ly/2T5UVG7</a>",$44.00 ,"<a href=""https://bit.ly/39wnplu"">https://bit.ly/39wnplu</a>","<a href=""https://www.youtube.com/embed/s9VYMobwfs0"">https://www.youtube.com/embed/s9VYMobwfs0</a>",
#FauxFilter Foundation:  shade#Cocoa 510R,#8b6132,dark skin,HUDA BEAUTY,"<a href=""https://bit.ly/2pxwLeq"">https://bit.ly/2pxwLeq</a>",$40 ,"<a href=""https://bit.ly/37kmmTU"">https://bit.ly/37kmmTU</a>","<a href=""https://www.youtube.com/embed/x5F6UNyldb0"">https://www.youtube.com/embed/x5F6UNyldb0</a>",
Confidence in a Compact Foundation with SPF 50+:  shade DEEP(RICH-TAN),#a86d4d,dark skin,it COSMETICS,"<a href=""https://bit.ly/2J5wjLo"">https://bit.ly/2J5wjLo</a>",$32.00 ,"<a href=""https://bit.ly/35f7h4F"">https://bit.ly/35f7h4F</a>","<a href=""https://www.youtube.com/embed/VWoIBpwjEI0"">https://www.youtube.com/embed/VWoIBpwjEI0</a>",
Natural Radiant Longwear Foundation:  shade Iguacu (deep skin w/ neutral undertones,#8d5531,dark skin,NARS,"<a href=""https://bit.ly/2n9Uah0"">https://bit.ly/2n9Uah0</a>",$49.00 ,"<a href=""https://bit.ly/2MK1Cx7"">https://bit.ly/2MK1Cx7</a>","<a href=""https://www.youtube.com/embed/VWoIBpwjEI0"">https://www.youtube.com/embed/VWoIBpwjEI0</a>",
L'Oreal Paris True Match Super-Blendable Foundation: shade Dark Chocolate C12,#614442,dark skin,L'Oreal Paris,"<a href=""https://bit.ly/2P29awZ"">https://bit.ly/2P29awZ</a>",$8.58 ,"<a href=""https://bit.ly/2sDlOtx"">https://bit.ly/2sDlOtx</a>","<a href=""https://www.youtube.com/embed/bi5REdLs1x0"">https://www.youtube.com/embed/bi5REdLs1x0</a>",
ALL NIGHTER Liquid Foundation: shade 12.0 - Deep,#7f463b,dark skin,Urban Decay,"<A href=""https://bit.ly/2MTQUn0"">https://bit.ly/2MTQUn0</a>",$40.00 ,"<a href=""https://bit.ly/2ZKr22P"">https://bit.ly/2ZKr22P</a>","<a href=""https://www.youtube.com/embed/Nn-1IES1q7M"">https://www.youtube.com/embed/Nn-1IES1q7M</a>",
NAKED SKIN Weightless Ultra Definition Liquid Makeup:  shade 13.0,#514030,dark skin,Urban Decay,"<a href=""https://bit.ly/33IRYRj"">https://bit.ly/33IRYRj</a>",$40.00 ,"<a href=""https://bit.ly/2MMb7vF"">https://bit.ly/2MMb7vF</a>","<a href=""https://www.youtube.com/embed/fwGAnafM2o4"">https://www.youtube.com/embed/fwGAnafM2o4</a>",
ULTRA HD FOUNDATION INVISIBLE COVER FOUNDATION: shade R540 Dark Brown,#6b4d45,dark skin,MakeUp Forever,"<a href=""https://bit.ly/2s2d7X7"">https://bit.ly/33IRYRj</a>",$43.00 ,"<a href=""https://bit.ly/2Qc2SLu"">https://bit.ly/2Qc2SLu</a>","<a href=""https://www.youtube.com/embed/hdPlk_dDgTQ"">https://www.youtube.com/embed/hdPlk_dDgTQ</a>",
Born This Way Undetectable Medium-to-Full Coverage Foundation: shade Hazelnut ,#7b3513,dark skin,Too Faced,"<a href=""https://bit.ly/2LrEGjT"">https://bit.ly/2LrEGjT</a>",$39.00 ,"<a href=""https://bit.ly/359yZ2R"">https://bit.ly/359yZ2R</a>","<a href=""https://www.youtube.com/embed/_5Epvb2GiKQ"">https://www.youtube.com/embed/_5Epvb2GiKQ</a>",
ALL DAY LUMINOUS WEIGHTLESS FOUNDATION: shade Gobi,#ecc3b0,fair skin,NARS,"<a href=""https://bit.ly/2qlfp4L"">https://bit.ly/2qlfp4L</a>",$49.00 ,"<a href=""https://bit.ly/2rIbGiM"">https://bit.ly/2rIbGiM</a>","<a href=""https://www.youtube.com/embed/FW5oL3Bz-lU"">https://www.youtube.com/embed/FW5oL3Bz-lU</a>",
Double Wear Stay-in-Place Makeup:  shade 1N0 Porcelain,#e7bd9b,fair skin,ESTEE LAUDER,"<a href=""https://estee.cm/2CKkKa7"">https://estee.cm/2CKkKa7</a>",$43.00 ,"<a href=""https://estee.cm/2Qx7jzw"">https://estee.cm/2Qx7jzw</a>","<a href=""https://www.youtube.com/embed/NarTt2MkUIQ"">https://www.youtube.com/embed/NarTt2MkUIQ</a>",
SHEER DELIGHT ULTRA MATT FOUNDATION:  shade #03,#dbbe93,fair skin,CHAMBOR,"<a href=""https://bit.ly/2MwuQzC"">https://bit.ly/2MwuQzC</a>",$20 ,"<a href=""https://bit.ly/35jn6Yg"">https://bit.ly/35jn6Yg</a>","<a href=""https://www.youtube.com/embed/DWQFfbORDic"">https://www.youtube.com/embed/DWQFfbORDic</a>",
STUDIO FIX FLUID SPF 15:  shade #NC20 ,#d69a73,medium skin,MAC,"<a href=""https://bit.ly/32tLghP"">https://bit.ly/32tLghP</a>",$31.00 ,"<a href=""https://bit.ly/2SKhe7A"">https://bit.ly/2SKhe7A</a>","<a href=""https://www.youtube.com/embed/Twr0aIExLNU"">https://www.youtube.com/embed/Twr0aIExLNU</a>",
Infallible Fresh Wear 24HR Foundation:  shade Sun Beige,#d9a46e,medium skin,L'Oreal Paris,"<a href=""https://bit.ly/2U2lBbz"">https://bit.ly/2U2lBbz</a>",$14.99 ,"<a href=""https://bit.ly/37qUGwC"">https://bit.ly/37qUGwC</a>","<a href=""https://www.youtube.com/embed/4j6p6iPQTGQ"">https://www.youtube.com/embed/4j6p6iPQTGQ</a>",
Illamasqua Skin Base Foundation,#ebe5cd,porcelain skin,Illamasqua ,"<a href=""https://bit.ly/2ygvsU0"">https://bit.ly/2ygvsU0</a>",$43.00 ,"<a href=""https://bit.ly/37u4G8D"">https://bit.ly/37u4G8D</a>","<a href=""https://www.youtube.com/embed/Abmzd1KhHx4"">https://www.youtube.com/embed/Abmzd1KhHx4</a>",
SKIN FOUNDATION STICK:  shade Alabaster (C-004 / 00),#f5decc,porcelain skin,Bobbi Brown,"<a href=""https://bbrwn.co/35N27yj"">https://bbrwn.co/35N27yj</a>",$47.00 ,"<a href=""https://bbrwn.co/2tfjvgl"">https://bbrwn.co/2tfjvgl</a>","<a href=""https://www.youtube.com/embed/Y4JPXkAZoNs"">https://www.youtube.com/embed/Y4JPXkAZoNs</a>",
SKIN FOUNDATION STICK:  shade Alabaster GOLDEN NATURAL (W-058 / 4.75),#c68a69,olive skin,Bobbi Brown,"<a href=""https://bbrwn.co/2J2V3nC"">https://bbrwn.co/2J2V3nC</a>",$47.00 ,"<a href=""https://bbrwn.co/2Qd8p4n"">https://bbrwn.co/2Qd8p4n</a>","<a href=""https://www.youtube.com/embed/w4lXLqmzFvY"">https://www.youtube.com/embed/w4lXLqmzFvY</a>",
MAGIC FOUNDATION: shade 5,#d89987,olive skin,CharlotteTilbury,"<a href=""https://bit.ly/2VVU8u7"">https://bit.ly/2VVU8u7</a>",$44.00 ,"<a href=""https://bbrwn.co/37qQVHy"">https://bbrwn.co/37qQVHy</a>","<a href=""https://www.youtube.com/embed/w4lXLqmzFvY"">https://www.youtube.com/embed/w4lXLqmzFvY</a>",
